country_code,region_name,iata,icao,airport,latitude,longitude
LK,Central Province,DBU,,Dambulu Oya Tank Seaplane Base,7.86,80.63
LK,Western Province,DGM,,Dandugama Seaplane Base,7.11,79.87
LK,Western Province,RML,VCCC,Ratmalana Airport,6.82,79.89
LK,Southern Province,HBT,,Hambantota Sea Plane Base,6.12,81.1
LK,Central Province,NUF,,Castlereigh Reservoir Seaplane Base,6.86,80.58
LK,Southern Province,HRI,VCRI,Mattala Rajapaksa International Airport,6.28,81.12
LK,Northern Province,IRU,,Iranamadu Waterdrome,9.3,80.45
LK,Central Province,GIU,VCCS,Sigiriya Airport,7.96,80.73
LK,North Central Province,ACJ,VCCA,Anuradhapura Airport,8.3,80.43
LK,Central Province,ADP,VCCG,Ampara Airport,7.34,81.63
LK,Central Province,NUA,,Gregory Lake Seaplane Base,6.96,80.78
LK,Western Province,KTY,VCCN,Katukurunda Airport,6.55,79.98
LK,Western Province,CMB,VCBI,Bandaranaike International Airport,7.18,79.88
LK,Central Province,AYY,,Arugam Bay Seaplane Base,6.86,81.82
LK,Southern Province,DIW,,Mawella Lagoon Seaplane Base,5.99,80.73
LK,Central Province,BTC,VCCB,Batticaloa Airport,7.71,81.68
LK,Central Province,PQD,,Batticaloa Seaplane Base,7.92,81.57
LK,Western Province,KEZ,,Kelani River-Peliyagoda Waterdrome,6.95,79.93
LK,Central Province,TRR,VCCT,China Bay Airport,8.54,81.18
LK,Southern Province,TTW,,Tissa Tank Waterdrome,6.29,81.29
LK,Western Province,BYV,,Beira Lake Seaplane Base,6.93,79.85
LK,Central Province,THW,,Trincomalee Harbour Seaplane Base,8.56,81.22
